id,collection,title,source_package,source_file,pages,sha256,quality_status,marketplace_status,last_reviewed
al-01,Adventure Logs,Lulu & Ellie's Big Adventure Log,Adventure Logs.zip,Adventure Logs/Adventure_Log1.pdf,120,81d6f9d065005633579df49d4d4e21c094d2328be128dbd0b139bab8c2709b9f,final-qa-pending,unverified,2026-07-11
al-02,Adventure Logs,Lulu & Ellie's Creature Rescue Log,Adventure Logs.zip,Adventure Logs/Adventurelog2.pdf,120,2f31d075f51ee83dbd9a5bcddca36f6e1e1f56d9e18c42cddbe4884ea981bcae,final-qa-pending,unverified,2026-07-11
al-03,Adventure Logs,Lulu & Ellie's Space Rescue Log,Adventure Logs.zip,Adventure Logs/Adventurelog3.pdf,120,b29f831a6c22ed1ff31584b599f8d439e5cc3b058c6a95d58d944a49aeceb72e,final-qa-pending,unverified,2026-07-11
al-04,Adventure Logs,Lulu & Ellie's Mystery Case Log,Adventure Logs.zip,Adventure Logs/Adventurelog4.pdf,120,fe960b2d352d211a0c9a8ac0af81c2c4216c41046e6f8457facaf52294cd51d9,final-qa-pending,unverified,2026-07-11
al-05,Adventure Logs,Lulu & Ellie's Backyard Academy Nature Log,Adventure Logs.zip,Adventure Logs/Adventurelog5.pdf,120,e8a0ffc1342c9027f4d14dfd05a996e0c12240bf741411c0505dc6f0f036621d,final-qa-pending,unverified,2026-07-11
ww-01,Write & Wag,Lulu & Ellie Write & Wag: My First Letters,Branches (1).zip,Handwriting/Handwriting1.pdf,120,58838aa54416a9d89d71c2fbcb7053294f45b3b72f82a40a8e668e02208c498a,final-qa-pending,unverified,2026-07-11
ww-02,Write & Wag,Lulu & Ellie Write & Wag: First Words,Branches (1).zip,Handwriting/Handwriting2.pdf,120,b64328d533e802712342fe649f0543898403c4a7f82e68db561ab3c7b0f4def8,final-qa-pending,unverified,2026-07-11
ww-03,Write & Wag,Lulu & Ellie Write & Wag: Super Sentences,Branches (1).zip,Handwriting/Handwriting3.pdf,120,258cf1d06680292d5c710b84767b8812c87392c9f13f3b5764a1e71ab791fe9d,final-qa-pending,unverified,2026-07-11
cc-01,Cursive Club,"Lulu & Ellie Cursive Club: Loops, Letters, and Pawprints",Branches (1).zip,Cursive/Cursive1.pdf,120,cf0c4ab4839206e354059528bd546cb5fd83568ebf8a708ea3e154319de5b888,polished-preview,unverified,2026-07-11
cc-02,Cursive Club,Lulu & Ellie Cursive Club: Secret Notes and Adventure Words,Branches (1).zip,Cursive/Cursive2.pdf,120,6945c9e7b4ccb95740ac6880b5854931c342de08ff512562c1315625e26b4c07,polished-preview,unverified,2026-07-11
pp-01,Phonics Path,Lulu & Ellie Phonics Path: The Alphabet Adventure,Branches (4).zip,Phonics/Phonics1.pdf,120,ddf96d9eb298009ef27395d5503f87b8745798da06eb0ecf75e4a06165efb204,final-qa-pending,unverified,2026-07-11
pp-02,Phonics Path,Lulu & Ellie Phonics Path: The Short Vowel Portal,Branches (4).zip,Phonics/Phonics2.pdf,120,503e0188be88eff0e82ccb334886b6acbdbeac662b3591befbe30359777bab12,final-qa-pending,unverified,2026-07-11
lc-01,Learning Club,Lulu & Ellie Learning Club: My First Adventure Lessons,Branches (3).zip,Learning/Learning 1.pdf,120,b91ed96d369c1cbf0b41d86bb3a5b77296550bf35a73c5d20c5399e1dd2a036d,final-qa-pending,unverified,2026-07-11
lc-02,Learning Club,Lulu & Ellie Learning Club: Reading Adventures Level 1,Branches (3).zip,Learning/Learning 2.pdf,120,3ece4107a84b84ea0f4be8861f35d8057306eec582d73bdaaa470ab46af87792,final-qa-pending,unverified,2026-07-11
lc-03,Learning Club,Lulu & Ellie Learning Club: Math Missions Level 1,Branches (3).zip,Learning/Learning3.pdf,120,ec2c456d585a029bbb14777635fb31fb05b9f2c84a3e7bef8cd210d46a78f412,final-qa-pending,unverified,2026-07-11
fg-01,Field Guides,Lulu & Ellie's Guide to Magical Creatures,Branches (2).zip,Field Guides/Fieldguide1.pdf,120,710ff7a233f2ce5a4a8b2954ba63c2e83128778121f56798b8f7ae1beb51451c,final-qa-pending,unverified,2026-07-11
fg-02,Field Guides,Lulu & Ellie's Portal World Field Guide,Branches (2).zip,Field Guides/FieldGuide2.pdf,120,a5a24a0546e6b4228edfdfc510bedca9b621791bdd7970df74d0596f78940176,final-qa-pending,unverified,2026-07-11
fg-04,Field Guides,Lulu & Ellie's Mystery Detective Field Guide,Branches (2).zip,Field Guides/FieldGuide4.pdf,120,f34d082b8228381cd6fe79ae75cbf10bcfc58e9e42459601ecddbc131c3959d8,final-qa-pending,unverified,2026-07-11
fg-05,Field Guides,Lulu & Ellie's Backyard Academy Nature Guide,Branches (2).zip,Field Guides/FieldGuide5.pdf,120,fcd7bbab3637b891c309e87399f479790c764cac3eadeffb0905c5eeff20eabf,final-qa-pending,unverified,2026-07-11
ks-01,Keepsakes and Diaries,Lulu & Ellie's Big Book of Me,Branches (2).zip,Keepsakes/Keepsakes1.pdf,120,eb0cc4b9771c8b92c96b2c6031be9345d111e9b6d995710ce914ae601a2a01a4,final-qa-pending,unverified,2026-07-11
ks-02,Keepsakes and Diaries,Lulu & Ellie School Year Keepsake,Branches (2).zip,Keepsakes/Keepsake2.pdf,120,2f21a574791b0e3401d21395e9f3250fa39cc3476dcd1ff6143c21a51fc4f5aa,final-qa-pending,unverified,2026-07-11
di-01,Keepsakes and Diaries,Lulu & Ellie's Secret Garden Diary,Diary.zip,Diary/Diary1.pdf,120,96af1d21f96a477b1c152e9e911204d29c243d5d8e29982962b73dcf572619ed,polished-preview,unverified,2026-07-11
di-02,Keepsakes and Diaries,Lulu & Ellie's Brave Heart Diary,Diary.zip,Diary/Diary2.pdf,120,b90c9f0aabca2bf775db84db3186ed510f2293208308fc968fefdf8332a74621,polished-preview,unverified,2026-07-11
di-03,Keepsakes and Diaries,Lulu & Ellie's Best Friends Diary,Diary.zip,Diary/Diary3.pdf,120,ff3bc983f4edc845453ce3cff716bab77917e0f2eed63b393aa5c41a02712c80,polished-preview,unverified,2026-07-11
di-04,Keepsakes and Diaries,Lulu & Ellie's Big Feelings Diary,Diary.zip,Diary/Diary4.pdf,120,07c7a55472b391036eacccd118fa85dfaa51a5ae2c16980900275d7193b72f9f,polished-preview,unverified,2026-07-11
di-05,Keepsakes and Diaries,Lulu & Ellie's Private Portal Journal,Diary.zip,Diary/Diary5.pdf,120,58b7a50044653f4ce29bfb0086039849c3a0e5bed0beab7e0131633239b474ff,polished-preview,unverified,2026-07-11
sf-01,Search & Find,Lulu & Ellie Search & Find: Portal Worlds,Branches (3).zip,Search and finds/Search and find 1.pdf,80,f037ea0187fb16b4e667ff3c6ea436947c74cf0203c51c8388975a50f6bf3cda,final-qa-pending,unverified,2026-07-11
sf-02,Search & Find,Lulu & Ellie Search & Find: Lost Charms,Branches (3).zip,Search and finds/Search and find 2.pdf,80,43a0114ea525e8dc010bf96c2a0d5387ac67af4bee766afc384178e188a44fec,final-qa-pending,unverified,2026-07-11
sf-03,Search & Find,Lulu & Ellie Search & Find: Space Rescue Trail,Branches (3).zip,Search and finds/Search and find 3.pdf,80,7bfd3cfe130164a01d927e0de12a431d3307afe0158f593bb9def35c04f05a92,final-qa-pending,unverified,2026-07-11
pq-01,Puzzle Quest,Lulu & Ellie's First Puzzle Adventure,Branches (4).zip,Puzzle Book's/Puzzle1.pdf,80,d9bd026ce1b24fcd8a0c825f5415965cdf10a3d8e70c8857928eef894b85aba3,final-qa-pending,unverified,2026-07-11
pq-02,Puzzle Quest,Lulu & Ellie's Big Puzzle Adventure,Branches (4).zip,Puzzle Book's/Puzzle2.pdf,108,0d11228b092648dded7cf37c2280abb0484533d90416c2f9b505f798d1bab2f7,final-qa-pending,unverified,2026-07-11
pq-03,Puzzle Quest,Where Are Lulu & Ellie?,Branches (4).zip,Puzzle Book's/Puzzle3.pdf,96,ea41021617593e6a436d8916e85b86f2555cd7adca5add78d2cc088d7332d399,revision-pass-pending,unverified,2026-07-11
pq-04,Puzzle Quest,Lulu & Ellie Mystery Puzzle Files,Branches (4).zip,Puzzle Book's/Puzzle4.pdf,108,d37c6c4f2adfc05390595233b677de87b9cfafa98ce098992d890674901be3af,revision-pass-pending,unverified,2026-07-11
pq-05,Puzzle Quest,Lulu & Ellie Master Puzzle Quest: The Lost Portal Map,Branches (4).zip,Puzzle Book's/Puzzle5.pdf,150,4c9a0529bd0a321088f4c676047b3a5b871944e8f6546885266749897b939723,revision-pass-pending,unverified,2026-07-11
cb-01,Coloring Collections,Lulu & Ellie's First Coloring Book,Coloring Books.zip,Coloring Books/lulu_ellie_first_coloring_book_interior_optimized.pdf,50,d9a638a7e4f9cedd511753d2a1f10d4148b9eba769da98cd0b8c4c7fb34bc072,character-continuity-review,unverified,2026-07-11
cb-02,Coloring Collections,Lulu & Ellie Portal Adventures Coloring Book,Coloring Books.zip,Coloring Books/Lulu_Ellie_Portal_Adventures_Coloring_Book_B2S3_Final_Interior.pdf,50,216bddc9e9a96af7e8db2521a3f1d525281d2607c73db2aa1cab00b53a889454,character-continuity-review,unverified,2026-07-11
cb-03,Coloring Collections,Lulu & Ellie Space Coloring Adventure,Coloring Books.zip,Coloring Books/lulu_ellie_space_coloring_adventure_A-AX_FINAL.pdf,50,3d1621c6eb4cea43bb1e495dfafe320211c54b7b6dcf1ee8924166e60f08ebdd,character-continuity-review,unverified,2026-07-11
cb-04,Coloring Collections,Lulu & Ellie Creature Rescue Coloring Book,Coloring Books.zip,Coloring Books/Lulu_Ellie_Creature_Rescue_Coloring_Book_B4_S3_INTERIOR_FINAL.pdf,50,406e2eaaaecb8f4e3a9293af23f6126df5f4782f7b952006ae523f6a736c9558,character-continuity-review,unverified,2026-07-11
cb-05,Coloring Collections,"Lulu & Ellie Color Quest: Charms, Patches & Badges",Coloring Books.zip,Coloring Books/Lulu_Ellie_B5S3_Charms_Patches_Badges_Coloring_Collection_FINAL_INTERIOR.pdf,50,d6a3d1ffd4be075fb720d90efe8c00d42f0942edcaa137346aa9e6bad0971ad5,character-continuity-review,unverified,2026-07-11
ka-01,Kitchen Adventures,Lulu & Ellie's Cozy Kitchen Adventures,Branches.zip,Cookbooks/Cook1.pdf,96,a84ead9e5b1f6d0ea019052b5e3529ca804b436f0fd71dc19c516d0b36eb0b04,polished-preview,unverified,2026-07-11
ka-02,Kitchen Adventures,Lulu & Ellie's No-Bake Snack Adventures,Branches.zip,Cookbooks/Cook2.pdf,80,bbb754b022ade7413a5c50b88d41ce41e71968e81ea6e1bf0e994ed508dbe713,polished-preview,unverified,2026-07-11
bt-01,Bedtime Adventures,Lulu & Ellie Bedtime Adventures: The Moonbeam That Wouldn't Sleep,Branches.zip,Bedtime/BT-B1_The_Moonbeam_That_Wouldnt_Sleep_FINAL.pdf,30,7d21d4fc75ff4aee0a6b9f24ba485cd88238bc0e4aba8efe62274c4a0e1567c5,polished-preview,unverified,2026-07-11
bt-02,Bedtime Adventures,Lulu & Ellie Bedtime Adventures: The Blanket Fort Under the Stars,Branches.zip,Bedtime/lulu_ellie_bedtime_adventures_blanket_fort_under_the_stars_final_optimized.pdf,30,016270898811f323cef1ccd47692287ddb134be192be95977eb0a6eb0f2c6848,polished-preview,unverified,2026-07-11
bt-03,Bedtime Adventures,Lulu & Ellie Bedtime Adventures: The Firefly Goodnight Parade,Branches.zip,Bedtime/Bedtime3.pdf,30,e469b0763fab2017d5c9d8bf30565649549bab8ed77f1d3e01a88d280dc0abbe,polished-preview,unverified,2026-07-11
